survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
0,3,male,28,0,0,9.5,S,Third,man,True,,Southampton,no,True
1,1,female,22,0,1,55,S,First,woman,False,E,Southampton,yes,False
0,2,female,38,0,0,13,S,Second,woman,False,,Southampton,no,True
1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
0,3,male,40,1,4,27.9,S,Third,man,True,,Southampton,no,False
0,2,male,29,1,0,27.7208,C,Second,man,True,,Cherbourg,no,False
0,3,female,45,0,1,14.4542,C,Third,woman,False,,Cherbourg,no,False
0,3,male,35,0,0,7.05,S,Third,man,True,,Southampton,no,True
0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False
0,3,male,30,0,0,7.25,S,Third,man,True,,Southampton,no,True
1,1,female,60,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False
1,3,female,,0,0,7.2292,C,Third,woman,False,,Cherbourg,yes,True
1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
1,1,female,24,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
1,1,male,25,1,0,55.4417,C,First,man,True,E,Cherbourg,yes,False
0,3,male,18,1,0,6.4958,S,Third,man,True,,Southampton,no,False
0,3,male,19,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,1,male,22,0,0,135.6333,C,First,man,True,,Cherbourg,no,True
0,3,female,3,3,1,21.075,S,Third,child,False,,Southampton,no,False
1,1,female,,1,0,82.1708,C,First,woman,False,,Cherbourg,yes,False
1,3,female,22,0,0,7.25,S,Third,woman,False,,Southampton,yes,True
0,1,male,27,0,2,211.5,C,First,man,True,C,Cherbourg,no,False
0,3,male,20,0,0,4.0125,C,Third,man,True,,Cherbourg,no,True
0,3,male,19,0,0,7.775,S,Third,man,True,,Southampton,no,True
1,1,female,42,0,0,227.525,C,First,woman,False,,Cherbourg,yes,True
1,3,female,1,0,2,15.7417,C,Third,child,False,,Cherbourg,yes,False
0,3,male,32,0,0,7.925,S,Third,man,True,,Southampton,no,True
1,1,female,35,1,0,52,S,First,woman,False,,Southampton,yes,False
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
0,2,male,18,0,0,73.5,S,Second,man,True,,Southampton,no,True
0,3,male,1,5,2,46.9,S,Third,child,False,,Southampton,no,False
1,2,female,36,0,0,13,S,Second,woman,False,,Southampton,yes,True
0,3,male,,0,0,7.7292,Q,Third,man,True,,Queenstown,no,True
1,2,female,17,0,0,12,C,Second,woman,False,,Cherbourg,yes,True
1,1,male,36,1,2,120,S,First,man,True,B,Southampton,yes,False
1,3,male,21,0,0,7.7958,S,Third,man,True,,Southampton,yes,True
0,3,male,28,2,0,7.925,S,Third,man,True,,Southampton,no,False
1,1,female,23,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
1,3,female,24,0,2,16.7,S,Third,woman,False,G,Southampton,yes,False
0,3,male,22,0,0,7.7958,S,Third,man,True,,Southampton,no,True
0,3,female,31,0,0,7.8542,S,Third,woman,False,,Southampton,no,True
0,2,male,46,0,0,26,S,Second,man,True,,Southampton,no,True
0,2,male,23,0,0,10.5,S,Second,man,True,,Southampton,no,True
1,2,female,28,0,0,12.65,S,Second,woman,False,,Southampton,yes,True
1,3,male,39,0,0,7.925,S,Third,man,True,,Southampton,yes,True
0,3,male,26,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,female,21,1,0,9.825,S,Third,woman,False,,Southampton,no,False
0,3,male,28,1,0,15.85,S,Third,man,True,,Southampton,no,False
0,3,female,20,0,0,8.6625,S,Third,woman,False,,Southampton,no,True
0,2,male,34,1,0,21,S,Second,man,True,,Southampton,no,False
0,3,male,51,0,0,7.75,S,Third,man,True,,Southampton,no,True
1,2,male,3,1,1,18.75,S,Second,child,False,,Southampton,yes,False
0,3,male,21,0,0,7.775,S,Third,man,True,,Southampton,no,True
0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
0,3,male,,0,0,6.8583,Q,Third,man,True,,Queenstown,no,True
1,1,female,33,1,0,90,Q,First,woman,False,C,Queenstown,yes,False
0,2,male,,0,0,0,S,Second,man,True,,Southampton,no,True
1,3,male,44,0,0,7.925,S,Third,man,True,,Southampton,yes,True
0,3,female,,0,0,8.05,S,Third,woman,False,,Southampton,no,True
1,2,female,34,1,1,32.5,S,Second,woman,False,,Southampton,yes,False
1,2,female,18,0,2,13,S,Second,woman,False,,Southampton,yes,False
0,2,male,30,0,0,13,S,Second,man,True,,Southampton,no,True
0,3,female,10,0,2,24.15,S,Third,child,False,,Southampton,no,False
0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
0,3,male,21,0,0,7.7333,Q,Third,man,True,,Queenstown,no,True
0,3,male,29,0,0,7.875,S,Third,man,True,,Southampton,no,True
0,3,female,28,1,1,14.4,S,Third,woman,False,,Southampton,no,False
0,3,male,18,1,1,20.2125,S,Third,man,True,,Southampton,no,False
0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
1,2,female,28,1,0,26,S,Second,woman,False,,Southampton,yes,False
1,2,female,19,0,0,26,S,Second,woman,False,,Southampton,yes,True
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
1,3,male,32,0,0,8.05,S,Third,man,True,E,Southampton,yes,True
1,1,male,28,0,0,26.55,S,First,man,True,C,Southampton,yes,True
1,3,female,,1,0,16.1,S,Third,woman,False,,Southampton,yes,False
1,2,female,42,1,0,26,S,Second,woman,False,,Southampton,yes,False
0,3,male,17,0,0,7.125,S,Third,man,True,,Southampton,no,True
0,1,male,50,1,0,55.9,S,First,man,True,E,Southampton,no,False
1,1,female,14,1,2,120,S,First,child,False,B,Southampton,yes,False
0,3,female,21,2,2,34.375,S,Third,woman,False,,Southampton,no,False
1,2,female,24,2,3,18.75,S,Second,woman,False,,Southampton,yes,False
0,1,male,64,1,4,263,S,First,man,True,C,Southampton,no,False
0,2,male,31,0,0,10.5,S,Second,man,True,,Southampton,no,True
1,2,female,45,1,1,26.25,S,Second,woman,False,,Southampton,yes,False
0,3,male,20,0,0,9.5,S,Third,man,True,,Southampton,no,True
0,3,male,25,1,0,7.775,S,Third,man,True,,Southampton,no,False
1,2,female,28,0,0,13,S,Second,woman,False,,Southampton,yes,True
1,3,male,,0,0,8.1125,S,Third,man,True,,Southampton,yes,True
1,1,male,4,0,2,81.8583,S,First,child,False,A,Southampton,yes,False
1,2,female,13,0,1,19.5,S,Second,child,False,,Southampton,yes,False
1,1,male,34,0,0,26.55,S,First,man,True,,Southampton,yes,True
1,3,female,5,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False
1,1,male,52,0,0,30.5,S,First,man,True,C,Southampton,yes,True
0,2,male,36,1,2,27.75,S,Second,man,True,,Southampton,no,False
0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False
0,1,male,30,0,0,27.75,C,First,man,True,C,Cherbourg,no,True
1,1,male,49,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
1,3,male,29,0,0,7.8958,C,Third,man,True,,Cherbourg,yes,True
0,1,male,65,0,0,26.55,S,First,man,True,E,Southampton,no,True
1,1,female,,1,0,51.8625,S,First,woman,False,D,Southampton,yes,False
1,2,female,50,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
1,1,male,48,0,0,26.55,S,First,man,True,E,Southampton,yes,True
0,3,male,34,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,1,male,47,0,0,38.5,S,First,man,True,E,Southampton,no,True
0,2,male,48,0,0,13,S,Second,man,True,,Southampton,no,True
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,male,38,0,0,7.05,S,Third,man,True,,Southampton,no,True
0,2,male,,0,0,0,S,Second,man,True,,Southampton,no,True
0,1,male,56,0,0,26.55,S,First,man,True,,Southampton,no,True
0,3,male,,0,0,7.725,Q,Third,man,True,,Queenstown,no,True
1,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False
0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
0,3,male,38,0,0,8.6625,S,Third,man,True,,Southampton,no,True
1,2,female,33,1,2,27.75,S,Second,woman,False,,Southampton,yes,False
1,2,female,23,0,0,13.7917,C,Second,woman,False,D,Cherbourg,yes,True
0,3,female,22,0,0,9.8375,S,Third,woman,False,,Southampton,no,True
0,1,male,,0,0,52,S,First,man,True,A,Southampton,no,True
0,2,male,34,1,0,21,S,Second,man,True,,Southampton,no,False
0,3,male,29,1,0,7.0458,S,Third,man,True,,Southampton,no,False
0,3,male,22,0,0,7.5208,S,Third,man,True,,Southampton,no,True
1,3,female,2,0,1,12.2875,S,Third,child,False,,Southampton,yes,False
0,3,male,9,5,2,46.9,S,Third,child,False,,Southampton,no,False
0,2,male,,0,0,0,S,Second,man,True,,Southampton,no,True
0,3,male,50,0,0,8.05,S,Third,man,True,,Southampton,no,True
1,3,female,63,0,0,9.5875,S,Third,woman,False,,Southampton,yes,True
1,1,male,25,1,0,91.0792,C,First,man,True,B,Cherbourg,yes,False
0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False
1,1,female,35,1,0,90,S,First,woman,False,C,Southampton,yes,False
0,1,male,58,0,0,29.7,C,First,man,True,B,Cherbourg,no,True
0,3,male,30,0,0,8.05,S,Third,man,True,,Southampton,no,True
1,3,male,9,1,1,15.9,S,Third,child,False,,Southampton,yes,False
0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False
0,3,male,21,0,0,7.25,S,Third,man,True,,Southampton,no,True
0,1,male,55,0,0,30.5,S,First,man,True,C,Southampton,no,True
0,1,male,71,0,0,49.5042,C,First,man,True,,Cherbourg,no,True
0,3,male,21,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,male,,0,0,14.4583,C,Third,man,True,,Cherbourg,no,True
1,1,female,54,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
0,3,male,,0,0,15.1,S,Third,man,True,,Southampton,no,True
0,1,female,25,1,2,151.55,S,First,woman,False,C,Southampton,no,False
0,3,male,24,0,0,7.7958,S,Third,man,True,,Southampton,no,True
